seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	1307217	1307624	408	*	PEAK_000000003810	3.10426	Promoter (2-3kb)	1	1309110	1310246	1137	2	54998	uc001afb.1	2622	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	2071170	2071846	677	*	PEAK_000000000039	4.58768	Intron (uc001aiq.3/5590, intron 5 of 17)	1	2076796	2088167	11372	1	5590	uc009vlb.3	-4950	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2187046	2187528	483	*	PEAK_000000007289	2.0872	Intron (uc001aja.4/6497, intron 1 of 6)	1	2160134	2241652	81519	1	6497	uc001aja.4	26912	ENSG00000157933	SKI	SKI proto-oncogene
chr1	3535495	3536529	1035	*	PEAK_000000000877	3.68309	Distal Intergenic	1	3541556	3546694	5139	1	127262	uc001akm.3	-5027	ENSG00000158109	TPRG1L	tumor protein p63 regulated 1-like
chr1	5569854	5570523	670	*	PEAK_000000005660	2.86631	Distal Intergenic	1	5624131	5624203	73	1	100616489	uc021ofm.1	-53608	ENSG00000264341	MIR4417	microRNA 4417
chr1	5574531	5575162	632	*	PEAK_000000000018	4.73556	Distal Intergenic	1	5624131	5624203	73	1	100616489	uc021ofm.1	-48969	ENSG00000264341	MIR4417	microRNA 4417
chr1	6403448	6403847	400	*	PEAK_000000001929	3.41026	Intron (uc001amq.3/11332, intron 7 of 8)	1	6324332	6419004	94673	2	11332	uc001amq.3	15157	ENSG00000097021	ACOT7	acyl-CoA thioesterase 7
chr1	6408138	6408556	419	*	PEAK_000000002249	3.34619	Intron (uc001amq.3/11332, intron 7 of 8)	1	6324332	6419004	94673	2	11332	uc001amq.3	10448	ENSG00000097021	ACOT7	acyl-CoA thioesterase 7
chr1	7812897	7813620	724	*	PEAK_000000000430	3.93108	Intron (uc001aoi.3/23261, intron 21 of 22)	1	7804895	7829766	24872	1	23261	uc009vmf.3	8002	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1
chr1	7868368	7868813	446	*	PEAK_000000003519	3.14277	Intron (uc009vmg.1/8863, intron 10 of 18)	1	7844714	7890221	45508	1	8863	uc009vmh.1	23654	ENSG00000049246	PER3	period circadian clock 3
chr1	8042384	8042860	477	*	PEAK_000000003590	3.13122	Intron (uc001aou.4/11315, intron 6 of 6)	1	8021714	8045342	23629	1	11315	uc001aou.4	20670	ENSG00000116288	PARK7	Parkinsonism associated deglycase
chr1	8074795	8076849	2055	*	PEAK_000000003249	3.18423	Promoter (<=1kb)	1	8073487	8075752	2266	2	54206	uc001apa.1	0	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1
chr1	8469224	8469729	506	*	PEAK_000000001467	3.50639	Intron (uc001apd.3/473, intron 11 of 12)	1	8412464	8483747	71284	2	473	uc001apd.3	14018	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	8487682	8488403	722	*	PEAK_000000007135	2.44885	Intron (uc001ape.3/473, intron 12 of 23)	1	8412464	8483747	71284	2	473	uc001apd.3	-3935	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	8620791	8622217	1427	*	PEAK_000000003325	3.17132	Intron (uc001ape.3/473, intron 19 of 23)	1	8420172	8585844	165673	2	473	uc010nzx.1	-34947	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	8760682	8761641	960	*	PEAK_000000006586	2.7011	Intron (uc001ape.3/473, intron 22 of 23)	1	8525030	8813897	288868	2	473	uc001aph.1	52256	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	8786451	8786860	410	*	PEAK_000000006401	2.74798	Intron (uc001ape.3/473, intron 22 of 23)	1	8525030	8813897	288868	2	473	uc001aph.1	27037	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	8908780	8909181	402	*	PEAK_000000002867	3.23873	Distal Intergenic	1	8921059	8931635	10577	2	2023	uc001api.2	22454	ENSG00000074800	ENO1	enolase 1, (alpha)
chr1	8918356	8919641	1286	*	PEAK_000000001931	3.41022	Downstream (1-2kb)	1	8921059	8931635	10577	2	2023	uc001api.2	11994	ENSG00000074800	ENO1	enolase 1, (alpha)
chr1	9048028	9048560	533	*	PEAK_000000000563	3.84233	Distal Intergenic	1	9063359	9086404	23046	2	155184	uc009vmo.1	37844	ENSG00000197241	SLC2A7	solute carrier family 2 member 7
chr1	9065150	9065658	509	*	PEAK_000000002364	3.32368	Intron (uc009vmo.1/155184, intron 2 of 11)	1	9063359	9086404	23046	2	155184	uc009vmo.1	20746	ENSG00000197241	SLC2A7	solute carrier family 2 member 7
chr1	9200346	9202529	2184	*	PEAK_000000002025	3.39045	Distal Intergenic	1	9211727	9211836	110	2	407040	uc021ofw.1	9307	ENSG00000207865	MIR34A	microRNA 34a
chr1	9348934	9349521	588	*	PEAK_000000002014	3.39288	Distal Intergenic	1	9352941	9429590	76650	1	80176	uc010oae.2	-3420	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
chr1	9470598	9471031	434	*	PEAK_000000005643	2.86869	Distal Intergenic	1	9415766	9429590	13825	1	80176	uc001apv.3	54832	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
chr1	9555433	9555853	421	*	PEAK_000000003214	3.1896	Distal Intergenic	1	9599528	9642831	43304	1	84275	uc001apw.3	-43675	ENSG00000171612	SLC25A33	solute carrier family 25 member 33
chr1	9632903	9633440	538	*	PEAK_000000002442	3.31041	Exon (uc001apw.3/84275, exon 5 of 7)	1	9648932	9665020	16089	1	199953	uc001apy.3	-15492	ENSG00000188807	TMEM201	transmembrane protein 201
chr1	10002226	10002889	664	*	PEAK_000000001913	3.41279	Promoter (<=1kb)	1	9989776	10002840	13065	2	84328	uc001aqm.3	0	ENSG00000162441	LZIC	leucine zipper and CTNNBIP1 domain containing
chr1	10010442	10011293	852	*	PEAK_000000005582	2.87711	Intron (uc001aqp.3/64802, intron 1 of 4)	1	10003486	10045556	42071	1	64802	uc001aqp.3	6956	ENSG00000173614	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
chr1	10270172	10270571	400	*	PEAK_000000002736	3.26242	Promoter (<=1kb)	1	10270764	10334469	63706	1	23095	uc009vmt.3	-193	ENSG00000054523	KIF1B	kinesin family member 1B
chr1	10487981	10489865	1885	*	PEAK_000000003174	3.19526	Promoter (<=1kb)	1	10490159	10512060	21902	1	100526739	uc001arf.3	-294	ENSG00000175279	APITD1-CORT	APITD1-CORT readthrough
chr1	10554832	10555658	827	*	PEAK_000000002326	3.33217	5' UTR	1	10535003	10580067	45065	1	5195	uc001arl.3	19829	ENSG00000142655	PEX14	peroxisomal biogenesis factor 14
chr1	10567328	10568100	773	*	PEAK_000000004299	3.04331	Intron (uc001arl.3/5195, intron 2 of 2)	1	10588312	10690815	102504	1	5195	uc009vmw.3	-20212	ENSG00000142655	PEX14	peroxisomal biogenesis factor 14
